Bing Spatial Data Services, 2.0
Id, GeocodeRequest/Culture, GeocodeRequest/Query, GeocodeRequest/Address/AddressLine, GeocodeRequest/Address/AdminDistrict, GeocodeRequest/Address/CountryRegion, GeocodeRequest/Address/AdminDistrict2, GeocodeRequest/Address/FormattedAddress, GeocodeRequest/Address/Locality, GeocodeRequest/Address/PostalCode, GeocodeRequest/Address/PostalTown, GeocodeRequest/ConfidenceFilter/MinimumConfidence,ReverseGeocodeRequest/IncludeEntityTypes, ReverseGeocodeRequest/Location/Latitude, ReverseGeocodeRequest/Location/Longitude, GeocodeResponse/Address/AddressLine, GeocodeResponse/Address/AdminDistrict, GeocodeResponse/Address/CountryRegion, GeocodeResponse/Address/AdminDistrict2, GeocodeResponse/Address/FormattedAddress, GeocodeResponse/Address/Locality, GeocodeResponse/Address/PostalCode, GeocodeResponse/Address/PostalTown, GeocodeResponse/Address/Neighborhood, GeocodeResponse/Address/Landmark, GeocodeResponse/Confidence, GeocodeResponse/Name, GeocodeResponse/EntityType, GeocodeResponse/MatchCodes, GeocodeResponse/Point/Latitude, GeocodeResponse/Point/Longitude, GeocodeResponse/BoundingBox/SouthLatitude, GeocodeResponse/BoundingBox/WestLongitude,GeocodeResponse/BoundingBox/NorthLatitude,GeocodeResponse/BoundingBox/EastLongitude, GeocodeResponse/QueryParseValues, GeocodeResponse/GeocodePoints, StatusCode, FaultReason, TraceId
207,en-US,"340 East 64th Street ,  Manhattan, NY"
208,en-US,"355 Kings Hwy ,  Brooklyn, NY"
209,en-US,"310 West 52nd Street ,  Manhattan, NY"
210,en-US,"9201 Shore Road ,  Brooklyn, NY"
211,en-US,"2460 Adam Clayton Powell Boulevard ,  Manhattan, NY"
212,en-US,"350 Albany Street ,  Manhattan, NY"
213,en-US,"530 Park Avenue ,  Manhattan, NY"
214,en-US,"330 West 145th Street ,  Manhattan, NY"
215,en-US,"110 Ocean Parkway ,  Brooklyn, NY"
216,en-US,"2021 Broadway ,  Manhattan, NY"
217,en-US,"333 East 46th Street ,  Manhattan, NY"
218,en-US,"151 East 83rd Street ,  Manhattan, NY"
219,en-US,"160 Seventh Avenue ,  Manhattan, NY"
220,en-US,"418 East 59th Street ,  Manhattan, NY"
221,en-US,"345 East 80th Street ,  Manhattan, NY"
222,en-US,"43-01 46th Street ,  Queens, NY"
223,en-US,"40 3rd Street ,  Brooklyn, NY"
224,en-US,"207 East 120th Street ,  Manhattan, NY"
225,en-US,"100 Riverside Drive ,  Manhattan, NY"
226,en-US,"175 West 93rd Street ,  Manhattan, NY"
227,en-US,"87-08 Justice Avenue ,  Queens, NY"
228,en-US,"2628 Broadway ,  Manhattan, NY"
229,en-US,"135 Jackson Street ,  Brooklyn, NY"
230,en-US,"50 Veronica Place ,  Brooklyn, NY"
231,en-US,"548 East 87th Street ,  Brooklyn, NY"
232,en-US,"500 Grand Avenue ,  Brooklyn, NY"
233,en-US,"536 Henry Street ,  Brooklyn, NY"
234,en-US,"325 Clinton Avenue ,  Brooklyn, NY"
235,en-US,"255 Cabrini Boulevard ,  Manhattan, NY"
236,en-US,"131 West 28th Street ,  Manhattan, NY"
237,en-US,"80 Park Avenue ,  Manhattan, NY"
238,en-US,"20 West 64th Street ,  Manhattan, NY"
239,en-US,"211 East 46th Street ,  Manhattan, NY"
240,en-US,"76 Remsen Street ,  Brooklyn, NY"
241,en-US,"235 East 49th Street ,  Manhattan, NY"
242,en-US,"300 East 71st Street ,  Manhattan, NY"
243,en-US,"954 Bergen Street ,  Brooklyn, NY"
244,en-US,"203 West 90th Street ,  Manhattan, NY"
245,en-US,"754 East 6th Street ,  Manhattan, NY"
246,en-US,"301 East 69th Street ,  Manhattan, NY"
247,en-US,"687 West 204th Street ,  Manhattan, NY"
248,en-US,"845 United Nations Plaza ,  Manhattan, NY"
249,en-US,"243 West 98th ,  Manhattan, NY"
250,en-US,"250 East 65th Street ,  Manhattan, NY"
251,en-US,"358 Grove Street ,  Brooklyn, NY"
252,en-US,"610 West 110th Street ,  Manhattan, NY"
253,en-US,"15 Broad Street ,  Manhattan, NY"
254,en-US,"84-39 153rd Avenue ,  Queens, NY"
255,en-US,"50 Riverside Boulevard ,  Manhattan, NY"
256,en-US,"2021 Broadway ,  Manhattan, NY"
257,en-US,"19-53 79th Street ,  Queens, NY"
258,en-US,"41-07 Bowne Street ,  Queens, NY"
259,en-US,"645 East 11th Street ,  Manhattan, NY"
260,en-US,"345 Montgomery Street ,  Brooklyn, NY"
261,en-US,"1151 66th Street ,  Brooklyn, NY"
262,en-US,"86-11 151st Avenue ,  Queens, NY"
263,en-US,"511 East 11th Street ,  Manhattan, NY"
264,en-US,"138-35 Elder Avenue ,  Queens, NY"
265,en-US,"527 Cathedral Parkway ,  Manhattan, NY"
266,en-US,"35 Clark Street ,  Brooklyn, NY"
267,en-US,"3840 Greystone Avenue ,  Bronx, NY"
268,en-US,"3015 Riverdale Avenue ,  Bronx, NY"
269,en-US,"55 East 65th Street ,  Manhattan, NY"
270,en-US,"101 West 81st Street ,  Manhattan, NY"
271,en-US,"400 Central Park West ,  Manhattan, NY"
272,en-US,"83-19 116th Street ,  Queens, NY"
273,en-US,"132-59 41st   Road ,  Queens, NY"
274,en-US,"135 Ocean Parkway ,  Brooklyn, NY"
275,en-US,"1760 Second Avenue ,  Manhattan, NY"
276,en-US,"330 Third Avenue ,  Manhattan, NY"
277,en-US,"152 East 35th Street ,  Manhattan, NY"
278,en-US,"143 East 34th Street ,  Manhattan, NY"
279,en-US,"235 West End ,  Manhattan, NY"
280,en-US,"350 East 72nd Street ,  Manhattan, NY"
281,en-US,"201 East 36th Street ,  Manhattan, NY"
282,en-US,"140 East 56th Street ,  Manhattan, NY"
283,en-US,"409 3rd Street ,  Brooklyn, NY"
284,en-US,"208 Java Street ,  Brooklyn, NY"
285,en-US,"108 Waverly Avenue ,  Brooklyn, NY"
286,en-US,"175 Adams Street ,  Brooklyn, NY"
287,en-US,"343 East 92nd Street ,  Manhattan, NY"
288,en-US,"416 Bedford Avenue ,  Brooklyn, NY"
289,en-US,"63-34 Fresh Pond Road ,  Queens, NY"
290,en-US,"41 West 72nd Street ,  Manhattan, NY"
291,en-US,"300 Rector Place ,  Manhattan, NY"
292,en-US,"100 West 89th Street ,  Manhattan, NY"
293,en-US,"1 Irving Place ,  Manhattan, NY"
294,en-US,"1 Irving Place ,  Manhattan, NY"
295,en-US,"36 Sutton Place South ,  Manhattan, NY"
296,en-US,"652 Broadway ,  Manhattan, NY"
297,en-US,"199 Mott Street ,  Manhattan, NY"
298,en-US,"235 East 40th Street ,  Manhattan, NY"
299,en-US,"211 Madison Avenue ,  Manhattan, NY"
300,en-US,"65-35 Yellowstone Boulevard ,  Queens, NY"
301,en-US,"275 Webster Avenue ,  Brooklyn, NY"
302,en-US,"161 West 16th Street ,  Manhattan, NY"
303,en-US,"250 West 94th Street ,  Manhattan, NY"
304,en-US,"48 Market Street ,  Manhattan, NY"
305,en-US,"81 Ocean Parkway ,  Brooklyn, NY"
306,en-US,"37 Bridge Street ,  Brooklyn, NY"
307,en-US,"211 East 18th Street ,  Manhattan, NY"
308,en-US,"309 East 49th Street ,  Manhattan, NY"
309,en-US,"333 East 34th Street ,  Manhattan, NY"
310,en-US,"159 West 118th Street ,  Manhattan, NY"
311,en-US,"785 Park Avenue ,  Manhattan, NY"
312,en-US,"100 West 93rd Street ,  Manhattan, NY"
313,en-US,"258 Richardson Street ,  Brooklyn, NY"
314,en-US,"203 West 81st Street ,  Manhattan, NY"
315,en-US,"127 West 96th Street ,  Manhattan, NY"
316,en-US,"267 West 71st Street ,  Manhattan, NY"
317,en-US,"87-30 62nd Avenue ,  Queens, NY"
318,en-US,"92-29 Queens Boulevard ,  Queens, NY"
319,en-US,"152-18 Union Turnpike ,  Queens, NY"
320,en-US,"954 Bergen Street ,  Brooklyn, NY"
321,en-US,"18 West 48th Street ,  Manhattan, NY"
322,en-US,"325 East 57th Street ,  Manhattan, NY"
323,en-US,"50 Riverside Boulevard ,  Manhattan, NY"
324,en-US,"102-55 67th Drive ,  Queens, NY"
325,en-US,"2619 Emmons Avenue ,  Brooklyn, NY"
326,en-US,"3165 Nostrand Avenue ,  Brooklyn, NY"
327,en-US,"18 Pine Street ,  Manhattan, NY"
328,en-US,"100 West 80th Street ,  Manhattan, NY"
329,en-US,"2373 Adam C Powell Boulevard ,  Manhattan, NY"
330,en-US,"35 West 15th Street ,  Manhattan, NY"
331,en-US,"5 East 44th Street ,  Manhattan, NY"
332,en-US,"160 West 95th Street ,  Manhattan, NY"
333,en-US,"279 Central Park West ,  Manhattan, NY"
334,en-US,"630 First Avenue ,  Manhattan, NY"
335,en-US,"199 Mott Street ,  Manhattan, NY"
336,en-US,"225 East 73rd Street ,  Manhattan, NY"
337,en-US,"350 Cabrini Boulevard ,  Manhattan, NY"
338,en-US,"325 Lexington Avenue ,  Manhattan, NY"
339,en-US,"63-34 Fresh Pond Road ,  Queens, NY"
340,en-US,"63-61 Yellowstone Boulevard ,  Queens, NY"
